country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2021-11-14,Films (English),1,Red Notice,N/A,1
Argentina,AR,2021-11-14,Films (English),2,Love Hard,N/A,2
Argentina,AR,2021-11-14,Films (English),3,Yara,N/A,2
Argentina,AR,2021-11-14,Films (English),4,211,N/A,1
Argentina,AR,2021-11-14,Films (English),5,The Harder They Fall,N/A,2
Argentina,AR,2021-11-14,Films (English),6,Army of Thieves,N/A,3
Argentina,AR,2021-11-14,Films (English),7,7 Prisoners,N/A,1
Argentina,AR,2021-11-14,Films (English),8,Father Christmas Is Back,N/A,1
Argentina,AR,2021-11-14,Films (English),9,Just Go With It,N/A,2
Argentina,AR,2021-11-14,Films (English),10,Amina,N/A,1
Argentina,AR,2021-11-14,TV (English),1,Maid,Maid: Limited Series,7
Argentina,AR,2021-11-14,TV (English),2,Squid Game,Squid Game: Season 1,9
Argentina,AR,2021-11-14,TV (English),3,Narcos: Mexico,Narcos: Mexico: Season 3,1
Argentina,AR,2021-11-14,TV (English),4,You,You: Season 3,5
Argentina,AR,2021-11-14,TV (English),5,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,20
Argentina,AR,2021-11-14,TV (English),6,Arcane,Arcane: Season 1,1
Argentina,AR,2021-11-14,TV (English),7,The Queen of Flow,The Queen of Flow: Season 1,2
Argentina,AR,2021-11-14,TV (English),8,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,3
Argentina,AR,2021-11-14,TV (English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",15
Argentina,AR,2021-11-14,TV (English),10,Where is Marta?,Where is Marta?: Limited Series,1
Argentina,AR,2021-11-07,Films (English),1,Army of Thieves,N/A,2
Argentina,AR,2021-11-07,Films (English),2,The Harder They Fall,N/A,1
Argentina,AR,2021-11-07,Films (English),3,Love Hard,N/A,1
Argentina,AR,2021-11-07,Films (English),4,Yara,N/A,1
Argentina,AR,2021-11-07,Films (English),5,The Girl in the Spider's Web,N/A,1
Argentina,AR,2021-11-07,Films (English),6,Der Fall Collini,N/A,1
Argentina,AR,2021-11-07,Films (English),7,Army of the Dead,N/A,1
Argentina,AR,2021-11-07,Films (English),8,Only Mine,N/A,2
Argentina,AR,2021-11-07,Films (English),9,Hypnotic,N/A,2
Argentina,AR,2021-11-07,Films (English),10,Just Go With It,N/A,1
Argentina,AR,2021-11-07,TV (English),1,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,2
Argentina,AR,2021-11-07,TV (English),2,Maid,Maid: Limited Series,6
Argentina,AR,2021-11-07,TV (English),3,You,You: Season 3,4
Argentina,AR,2021-11-07,TV (English),4,Squid Game,Squid Game: Season 1,8
Argentina,AR,2021-11-07,TV (English),5,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,19
Argentina,AR,2021-11-07,TV (English),6,The Five Juanas,The Five Juanas: Season 1,5
Argentina,AR,2021-11-07,TV (English),7,Maya and the Three,Maya and the Three: Limited Series,2
Argentina,AR,2021-11-07,TV (English),8,The Queen of Flow,The Queen of Flow: Season 1,1
Argentina,AR,2021-11-07,TV (English),9,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",14
Argentina,AR,2021-11-07,TV (English),10,Locke & Key,Locke & Key: Season 2,2
Argentina,AR,2021-10-31,Films (English),1,Army of Thieves,N/A,1
Argentina,AR,2021-10-31,Films (English),2,Final Score,N/A,1
Argentina,AR,2021-10-31,Films (English),3,Hypnotic,N/A,1
Argentina,AR,2021-10-31,Films (English),4,Only Mine,N/A,1
Argentina,AR,2021-10-31,Films (English),5,A Dog's Journey,N/A,2
Argentina,AR,2021-10-31,Films (English),6,Night Teeth,N/A,2
Argentina,AR,2021-10-31,Films (English),7,Stuck Together,N/A,1
Argentina,AR,2021-10-31,Films (English),8,The Forgotten Battle,N/A,3
Argentina,AR,2021-10-31,Films (English),9,Venom,N/A,4
Argentina,AR,2021-10-31,Films (English),10,In for a Murder,N/A,2
Argentina,AR,2021-10-31,TV (English),1,Maid,Maid: Limited Series,5
Argentina,AR,2021-10-31,TV (English),2,You,You: Season 3,3
Argentina,AR,2021-10-31,TV (English),3,Squid Game,Squid Game: Season 1,7
Argentina,AR,2021-10-31,TV (English),4,Luis Miguel - The Series,Luis Miguel - The Series: Season 3,1
Argentina,AR,2021-10-31,TV (English),5,The Five Juanas,The Five Juanas: Season 1,4
Argentina,AR,2021-10-31,TV (English),6,Maya and the Three,Maya and the Three: Limited Series,1
Argentina,AR,2021-10-31,TV (English),7,Locke & Key,Locke & Key: Season 2,1
Argentina,AR,2021-10-31,TV (English),8,My Name,My Name: Season 1,3
Argentina,AR,2021-10-31,TV (English),9,You,You: Season 1,2
Argentina,AR,2021-10-31,TV (English),10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,18
Argentina,AR,2021-10-24,Films (English),1,The Forgotten Battle,N/A,2
Argentina,AR,2021-10-24,Films (English),2,Night Teeth,N/A,1
Argentina,AR,2021-10-24,Films (English),3,The Trip,N/A,1
Argentina,AR,2021-10-24,Films (English),4,Venom,N/A,3
Argentina,AR,2021-10-24,Films (English),5,A Dog's Journey,N/A,1
Argentina,AR,2021-10-24,Films (English),6,In for a Murder,N/A,1
Argentina,AR,2021-10-24,Films (English),7,Street Kings,N/A,1
Argentina,AR,2021-10-24,Films (English),8,What Happens in Vegas,N/A,1
Argentina,AR,2021-10-24,Films (English),9,Gran Torino,N/A,1
Argentina,AR,2021-10-24,Films (English),10,The Four of Us,N/A,1
Argentina,AR,2021-10-24,TV (English),1,You,You: Season 3,2
Argentina,AR,2021-10-24,TV (English),2,Maid,Maid: Limited Series,4
Argentina,AR,2021-10-24,TV (English),3,Squid Game,Squid Game: Season 1,6
Argentina,AR,2021-10-24,TV (English),4,My Name,My Name: Season 1,2
Argentina,AR,2021-10-24,TV (English),5,The Five Juanas,The Five Juanas: Season 1,3
Argentina,AR,2021-10-24,TV (English),6,You,You: Season 1,1
Argentina,AR,2021-10-24,TV (English),7,Grey's Anatomy,Grey's Anatomy: Season 17,4
Argentina,AR,2021-10-24,TV (English),8,The Chestnut Man,The Chestnut Man: Season 1,4
Argentina,AR,2021-10-24,TV (English),9,You,You: Season 2,1
Argentina,AR,2021-10-24,TV (English),10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,17
Argentina,AR,2021-10-17,Films (English),1,Venom,N/A,2
Argentina,AR,2021-10-17,Films (English),2,The Forgotten Battle,N/A,1
Argentina,AR,2021-10-17,Films (English),3,"My Brother, My Sister",N/A,1
Argentina,AR,2021-10-17,Films (English),4,Ma,N/A,2
Argentina,AR,2021-10-17,Films (English),5,The Guilty,N/A,3
Argentina,AR,2021-10-17,Films (English),6,Fever Dream,N/A,1
Argentina,AR,2021-10-17,Films (English),7,Redemption,N/A,1
Argentina,AR,2021-10-17,Films (English),8,Security,N/A,1
Argentina,AR,2021-10-17,Films (English),9,Grudge,N/A,1
Argentina,AR,2021-10-17,Films (English),10,There's Someone Inside Your House,N/A,2
Argentina,AR,2021-10-17,TV (English),1,Squid Game,Squid Game: Season 1,5
Argentina,AR,2021-10-17,TV (English),2,Maid,Maid: Limited Series,3
Argentina,AR,2021-10-17,TV (English),3,The Five Juanas,The Five Juanas: Season 1,2
Argentina,AR,2021-10-17,TV (English),4,You,You: Season 3,1
Argentina,AR,2021-10-17,TV (English),5,Grey's Anatomy,Grey's Anatomy: Season 17,3
Argentina,AR,2021-10-17,TV (English),6,The Chestnut Man,The Chestnut Man: Season 1,3
Argentina,AR,2021-10-17,TV (English),7,Sex Education,Sex Education: Season 3,5
Argentina,AR,2021-10-17,TV (English),8,My Name,My Name: Season 1,1
Argentina,AR,2021-10-17,TV (English),9,PAW Patrol,PAW Patrol: Season 6,2
Argentina,AR,2021-10-17,TV (English),10,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,16
Argentina,AR,2021-10-10,Films (English),1,The Guilty,N/A,2
Argentina,AR,2021-10-10,Films (English),2,Venom,N/A,1
Argentina,AR,2021-10-10,Films (English),3,There's Someone Inside Your House,N/A,1
Argentina,AR,2021-10-10,Films (English),4,Ma,N/A,1
Argentina,AR,2021-10-10,Films (English),5,Heat,N/A,1
Argentina,AR,2021-10-10,Films (English),6,Friendzone,N/A,2
Argentina,AR,2021-10-10,Films (English),7,My Little Pony: A New Generation,N/A,3
Argentina,AR,2021-10-10,Films (English),8,The Mask of Zorro,N/A,1
Argentina,AR,2021-10-10,Films (English),9,Nights in Rodanthe,N/A,1
Argentina,AR,2021-10-10,Films (English),10,Love & Other Drugs,N/A,1
Argentina,AR,2021-10-10,TV (English),1,Squid Game,Squid Game: Season 1,4
Argentina,AR,2021-10-10,TV (English),2,Maid,Maid: Limited Series,2
Argentina,AR,2021-10-10,TV (English),3,Grey's Anatomy,Grey's Anatomy: Season 17,2
Argentina,AR,2021-10-10,TV (English),4,The Five Juanas,The Five Juanas: Season 1,1
Argentina,AR,2021-10-10,TV (English),5,The Chestnut Man,The Chestnut Man: Season 1,2
Argentina,AR,2021-10-10,TV (English),6,Sex Education,Sex Education: Season 3,4
Argentina,AR,2021-10-10,TV (English),7,PAW Patrol,PAW Patrol: Season 6,1
Argentina,AR,2021-10-10,TV (English),8,Midnight Mass,Midnight Mass: Limited Series,3
Argentina,AR,2021-10-10,TV (English),9,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,15
Argentina,AR,2021-10-10,TV (English),10,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",13
Argentina,AR,2021-10-03,Films (English),1,The Guilty,N/A,1
Argentina,AR,2021-10-03,Films (English),2,The Starling,N/A,2
Argentina,AR,2021-10-03,Films (English),3,My Little Pony: A New Generation,N/A,2
Argentina,AR,2021-10-03,Films (English),4,No One Gets Out Alive,N/A,1
Argentina,AR,2021-10-03,Films (English),5,Sounds Like Love,N/A,1
