week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
2021-11-14,Films (English),1,Red Notice,N/A,148720000,1
2021-11-14,Films (English),2,Love Hard,N/A,58560000,2
2021-11-14,Films (English),3,The Harder They Fall,N/A,33060000,2
2021-11-14,Films (English),4,Army of Thieves,N/A,20560000,3
2021-11-14,Films (English),5,Father Christmas Is Back,N/A,13780000,1
2021-11-14,Films (English),6,211,N/A,7900000,1
2021-11-14,Films (English),7,Army of the Dead,N/A,7620000,3
2021-11-14,Films (English),8,Passing,N/A,7490000,1
2021-11-14,Films (English),9,Transformers: The Last Knight,N/A,6920000,2
2021-11-14,Films (English),10,Jumanji: The Next Level,N/A,6760000,1
2021-11-14,Films (Non-English),1,Yara,N/A,17950000,2
2021-11-14,Films (Non-English),2,7 Prisoners,N/A,9690000,1
2021-11-14,Films (Non-English),3,The Claus Family,N/A,4440000,2
2021-11-14,Films (Non-English),4,Meenakshi Sundareshwar,N/A,4410000,2
2021-11-14,Films (Non-English),5,The Forgotten Battle,N/A,2630000,5
2021-11-14,Films (Non-English),6,Stuck Together,N/A,2610000,4
2021-11-14,Films (Non-English),7,Lords of Scam,N/A,2120000,1
2021-11-14,Films (Non-English),8,Fierce,N/A,1800000,1
2021-11-14,Films (Non-English),9,Der Fall Collini,N/A,1590000,2
2021-11-14,Films (Non-English),10,Doctor (Tamil),N/A,1430000,2
2021-11-14,TV (English),1,Narcos: Mexico,Narcos: Mexico: Season 3,50290000,2
2021-11-14,TV (English),2,Arcane,Arcane: Season 1,34170000,1
2021-11-14,TV (English),3,You,You: Season 3,33720000,5
2021-11-14,TV (English),4,Maid,Maid: Limited Series,29480000,7
2021-11-14,TV (English),5,Big Mouth,Big Mouth: Season 5,25390000,2
2021-11-14,TV (English),6,Dynasty,Dynasty: Season 4,21020000,4
2021-11-14,TV (English),7,Locke & Key,Locke & Key: Season 2,18770000,4
2021-11-14,TV (English),8,Narcos: Mexico,Narcos: Mexico: Season 1,15570000,1
2021-11-14,TV (English),9,You,You: Season 2,15520000,4
2021-11-14,TV (English),10,You,You: Season 1,14570000,5
2021-11-14,TV (Non-English),1,Squid Game,Squid Game: Season 1,42790000,9
